using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |3603278|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |248|SPY |-438|SAZ |14378|PHI |-587|THETA |148|PSI |-390|Battery | 560|
Time |3704192|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |232|SPY |-442|SAZ |14358|PHI |-596|THETA |151|PSI |-407|Battery | 581|
Time |3804306|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |220|SPY |-446|SAZ |14364|PHI |-605|THETA |152|PSI |-426|Battery | 581|
Time |3904807|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |232|SPY |-444|SAZ |14400|PHI |-612|THETA |155|PSI |-444|Battery | 560|
Time |4005294|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |244|SPY |-412|SAZ |14412|PHI |-619|THETA |156|PSI |-461|Battery | 574|
Time |4105765|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |228|SPY |-444|SAZ |14406|PHI |-625|THETA |158|PSI |-479|Battery | 602|
Time |4206287|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-16|SAX |234|SPY |-460|SAZ |14396|PHI |-631|THETA |160|PSI |-497|Battery | 560|
Time |4306808|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |230|SPY |-430|SAZ |14400|PHI |-637|THETA |162|PSI |-515|Battery | 574|
Time |4407302|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |230|SPY |-436|SAZ |14404|PHI |-643|THETA |163|PSI |-533|Battery | 581|
Time |4507762|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |226|SPY |-442|SAZ |14380|PHI |-647|THETA |163|PSI |-551|Battery | 560|
