using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
timeout detected, sending mode as 1
Time |3602397|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |586|SPY |-402|SAZ |14406|PHI |-617|THETA |362|PSI |-504|Battery | 560|
Time |3702886|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |578|SPY |-430|SAZ |14374|PHI |-626|THETA |366|PSI |-522|Battery | 581|
Time |3803413|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-3|SR |-17|SAX |568|SPY |-402|SAZ |14360|PHI |-634|THETA |370|PSI |-541|Battery | 581|
Time |3903893|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |570|SPY |-424|SAZ |14348|PHI |-642|THETA |374|PSI |-559|Battery | 560|
Time |4004374|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |578|SPY |-418|SAZ |14360|PHI |-649|THETA |378|PSI |-578|Battery | 574|
Time |4104916|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |564|SPY |-418|SAZ |14410|PHI |-657|THETA |381|PSI |-597|Battery | 581|
Time |4205345|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |556|SPY |-420|SAZ |14372|PHI |-663|THETA |384|PSI |-616|Battery | 560|
Time |4305878|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |556|SPY |-426|SAZ |14394|PHI |-668|THETA |387|PSI |-634|Battery | 574|
Time |4406358|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |582|SPY |-406|SAZ |14416|PHI |-674|THETA |390|PSI |-653|Battery | 581|
Time |4506904|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-3|SR |-17|SAX |496|SPY |-408|SAZ |14446|PHI |-679|THETA |392|PSI |-672|Battery | 560|
Time |4607368|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |582|SPY |-426|SAZ |14362|PHI |-684|THETA |394|PSI |-691|Battery | 574|
