 37343188, -1080, -1666
 37393556, 1158, -487
 37443596, 369, 460
 37493828, 878, 164
 37543834, 885, 900
 37594037, 510, 679
 37644155, 709, 682
 37694161, 618, 660
 37744556, 581, 621
 37794570, 738, 622
 37844660, -399, 417
 37894668, -2419, -679
 37944889, -4181, -1999
 37994895, -7450, -4093
 38045276, -6998, -5841
 38095281, -4753, -5860
 38145476, -2829, -4591
 38195501, -1144, -3279
 38245657, 613, -1684
 38295677, 2626, 16
 38346212, 5321, 2078
 38396693, 7522, 4450
 38447180, 7771, 6125
 38497839, 7802, 6921
 38547849, 7156, 7206
 38598052, 5514, 6697
 38648312, 2849, 5359
 38698328, 1312, 3487
 38748495, 972, 2276
 38798698, -208, 1327
 38848810, -4370, -590
 38898956, -6717, -3344
 38949140, -7326, -5256
 38999155, -8617, -6703
 39049292, -8984, -7903
 39099437, -7264, -8042
 39149688, -4081, -6695
 39199710, -1425, -4676
 39249761, -59, -2518
 39299905, 1269, -922
 39350002, 2760, 550
 39400016, 5862, 2508
 39450289, 7307, 4776
 39500294, 6884, 5946
 39550808, 6398, 6237
 39600816, 6021, 6209
 39651730, 4981, 5802
 39701790, 3284, 4904
 39751829, 622, 3372
 39801834, -5078, 588
 39852236, -11005, -4210
 39902242, -10436, -7640
 39952691, -10322, -9105
 40003183, -3065, -7979
 40053220, 3348, -3632
 40103395, 7448, 1323
 40153743, 9513, 5104
 40203752, 8554, 7340
 40254092, 3469, 6701
 40304098, -7167, 1735
 40354241, -10318, -4053
 40404252, -8324, -7017
 40454758, -1382, -6037
 40504923, 6851, -908
 40555570, 6825, 3095
 40605716, 4496, 4454
 40655722, 3583, 4193
 40705781, -3947, 2179
 40756071, -9211, -2860
 40806076, -7966, -6087
 40856396, 8663, -2238
 40906450, 11146, 4358
 40956596, 489, 5774
 41006694, -10471, -1248
 41056897, -3024, -4635
 41106932, 7847, 244
 41157098, 3805, 3467
 41207190, -8466, -381
 41257257, -3354, -3807
 41307461, 6878, 39
 41357661, 832, 2752
 41407700, -8301, -1896
 41457991, 5997, -1326
 41508005, 2325, 2151
 41558132, -7581, -1524
 41608172, 6778, -3
 41658570, -2931, 1100
 41708500, 638, -1451
 41758703, 1043, 984
 41808748, -5201, -1436
 41858798, 4889, 456
 41908937, -4800, 264
 41959988, 3092, -1687
 42010141, -647, 533
 42060318, -3546, -2099
 42111029, 4661, 875
 42161180, -6037, -552
 42211206, 4709, -231
 42261644, -4378, -203
 42311649, 3151, -1239
 42361929, -982, 797
 42411944, -3131, -1921
 42462025, 2654, 540
 42512122, -5608, -1101
 42562265, 3817, -3
 42612380, -4691, -104
 42662726, 3227, -741
 42712734, -1454, 319
 42762780, 1209, -1027
 42813008, -112, 392
 42863057, -643, -1324
 42913100, 1270, 538
 42963387, -3116, -852
 43013394, 2744, 218
 43063404, -4740, -374
 43113572, 3756, -258
 43163874, -2802, 178
 43213897, 1921, -676
 43264889, 1073, 758
 43314898, -712, 120
 43364952, 881, 496
 43415020, 5117, 1746
 43465137, 8374, 4622
 43515258, 6528, 6052
 43565652, 3845, 5448
 43615687, 2401, 4253
 43665696, -1910, 2157
 43715953, -9323, -2132
