using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |3501411|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-18|SQ |27|SR |-125|SAX |412|SPY |-454|SAZ |14432|PHI |275|THETA |-978|PSI |1328|Battery | 581|
Time |3601937|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-54|SQ |-5|SR |194|SAX |234|SPY |-328|SAZ |14440|PHI |187|THETA |-897|PSI |1412|Battery | 560|
Time |3702453|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |3|SR |61|SAX |314|SPY |-344|SAZ |14396|PHI |120|THETA |-842|PSI |1468|Battery | 581|
Time |3802948|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-37|SQ |2|SR |-7|SAX |144|SPY |-260|SAZ |14560|PHI |70|THETA |-784|PSI |1524|Battery | 581|
Time |3903413|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-23|SQ |10|SR |30|SAX |136|SPY |-392|SAZ |14386|PHI |8|THETA |-718|PSI |1518|Battery | 560|
Time |4003959|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |13|SQ |19|SR |75|SAX |384|SPY |-584|SAZ |14390|PHI |-32|THETA |-673|PSI |1557|Battery | 581|
Time |4104818|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |43|SQ |-18|SR |178|SAX |222|SPY |-310|SAZ |14394|PHI |11|THETA |-637|PSI |1698|Battery | 581|
Time |4204940|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |24|SQ |83|SR |55|SAX |-190|SPY |-74|SAZ |14272|PHI |63|THETA |-642|PSI |1892|Battery | 560|
Time |4305411|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-30|SQ |-23|SR |-71|SAX |48|SPY |-338|SAZ |14464|PHI |28|THETA |-613|PSI |1829|Battery | 574|
Time |4405902|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-14|SR |-97|SAX |-144|SPY |-346|SAZ |14366|PHI |-16|THETA |-565|PSI |1720|Battery | 581|
Time |4506395|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-4|SR |0|SAX |124|SPY |-142|SAZ |14338|PHI |-52|THETA |-532|PSI |1695|Battery | 560|
Time |4606884|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-35|SQ |2|SR |24|SAX |-38|SPY |-150|SAZ |14336|PHI |-82|THETA |-493|PSI |1691|Battery | 574|
Time |4707411|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-14|SQ |6|SR |4|SAX |92|SPY |-204|SAZ |14392|PHI |-115|THETA |-457|PSI |1692|Battery | 581|
Time |4807905|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-2|SQ |6|SR |-38|SAX |124|SPY |-190|SAZ |14356|PHI |-130|THETA |-418|PSI |1684|Battery | 595|
Time |4908446|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |2|SQ |14|SR |-46|SAX |78|SPY |-218|SAZ |14434|PHI |-137|THETA |-394|PSI |1643|Battery | 581|
Time |5008918|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-36|SQ |-13|SR |-25|SAX |-10|SPY |-102|SAZ |14388|PHI |-151|THETA |-374|PSI |1585|Battery | 581|
Time |5109375|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-34|SQ |1|SR |-40|SAX |-90|SPY |-132|SAZ |14416|PHI |-190|THETA |-352|PSI |1549|Battery | 560|
Time |5209898|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-136|SQ |39|SR |233|SAX |-492|SPY |-490|SAZ |14786|PHI |-239|THETA |-372|PSI |1603|Battery | 574|
